S 600aa0,1 miss
S 7ff000398,8 miss
S 7ff000390,8 miss
S 7ff000378,8 miss
S 7ff000370,8 miss
S 7ff000384,4 miss
L 7ff000384,4 hit 0 133693468
S 7ff000388,4 miss
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a20,4 miss eviction 0 196693 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a60,4 miss eviction 0 196689 196691
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a24,4 miss eviction 0 196691 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a70,4 miss eviction 2 133693468 196691
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a28,4 miss
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a80,4 miss eviction 0 196689 196692
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a2c,4 hit 1 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a90,4 miss eviction 2 196691 196692
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
M 7ff000384,4 hit 0 133693468 hit
L 7ff000384,4 hit 0 133693468
S 7ff000388,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a30,4 miss eviction 2 196692 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a64,4 miss eviction 0 196692 196691
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a34,4 hit 2 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a74,4 miss eviction 2 196689 196691
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a38,4 miss eviction 3 133693468 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a84,4 miss eviction 0 196691 196692
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a3c,4 hit 3 196689
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a94,4 miss eviction 2 196691 196692
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
M 7ff000384,4 hit 0 133693468 hit
L 7ff000384,4 hit 0 133693468
S 7ff000388,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000384,4 hit 0 133693468
L 7ff000378,8 hit 3 133693467
L 7ff000388,4 hit 1 133693468
L 600a40,4 miss eviction 0 196692 196690
S 7ff00038c,4 hit 1 133693468
L 7ff000388,4 hit 1 133693468
L 7ff000370,8 hit 2 133693467
L 7ff000384,4 hit 0 133693468
L 7ff00038c,4 hit 1 133693468
S 600a68,4 miss eviction 1 196689 196691
M 7ff000388,4 hit 1 133693468 hit
L 7ff000388,4 hit 1 133693468
